type,name,value,actual_value
foulGivenPerGame,"Zlatan Ibrahimovic, Forward",30.36,0.71
offsideGivenPerGame,"Zlatan Ibrahimovic, Forward",100.0,1.46
dispossessedPerGame,"Zlatan Ibrahimovic, Forward",66.41,1.42
turnoverPerGame,"Zlatan Ibrahimovic, Forward",81.25,2.17
offensive_rating,"Zlatan Ibrahimovic, Forward",86.9,7.52
totalPassesPerGame,"Zlatan Ibrahimovic, Forward",52.03,38.83
accurateCrossesPerGame,"Zlatan Ibrahimovic, Forward",9.91,0.17
accurateLongPassPerGame,"Zlatan Ibrahimovic, Forward",15.78,1.46
accurateThroughBallPerGame,"Zlatan Ibrahimovic, Forward",58.33,0.29
passing_rating,"Zlatan Ibrahimovic, Forward",86.9,7.52
shotSixYardBox,"Zlatan Ibrahimovic, Forward",100.0,0.46
shotPenaltyArea,"Zlatan Ibrahimovic, Forward",100.0,2.5
shotOboxTotal,"Zlatan Ibrahimovic, Forward",64.58,1.29
shotsTotal,"Zlatan Ibrahimovic, Forward",100.0,4.25
detailed_rating,"Zlatan Ibrahimovic, Forward",86.9,7.52
goal,"Ander Herrera, Midfielder",0.0,0.0
assistTotal,"Ander Herrera, Midfielder",60.0,3.0
shotsPerGame,"Ander Herrera, Midfielder",32.09,1.36
aerialWonPerGame,"Ander Herrera, Midfielder",33.45,1.05
manOfTheMatch,"Ander Herrera, Midfielder",100.0,4.0
passSuccess,"Ander Herrera, Midfielder",97.24,88.12
all_rating,"Ander Herrera, Midfielder",82.53,7.44
goalOwn,"Ander Herrera, Midfielder",0.0,0.0
tacklePerGame,"Ander Herrera, Midfielder",100.0,2.95
interceptionPerGame,"Ander Herrera, Midfielder",100.0,3.05
foulsPerGame,"Ander Herrera, Midfielder",76.16,1.68
offsideWonPerGame,"Ander Herrera, Midfielder",0.0,0.0
clearancePerGame,"Ander Herrera, Midfielder",23.38,1.91
wasDribbledPerGame,"Ander Herrera, Midfielder",100.0,2.0
outfielderBlockPerGame,"Ander Herrera, Midfielder",36.36,0.27
defensive_rating,"Ander Herrera, Midfielder",82.53,7.44
keyPassPerGame,"Ander Herrera, Midfielder",66.4,1.27
dribbleWonPerGame,"Ander Herrera, Midfielder",45.45,1.14
foulGivenPerGame,"Ander Herrera, Midfielder",66.23,1.55
offsideGivenPerGame,"Ander Herrera, Midfielder",0.0,0.0
dispossessedPerGame,"Ander Herrera, Midfielder",38.35,0.82
turnoverPerGame,"Ander Herrera, Midfielder",20.45,0.55
offensive_rating,"Ander Herrera, Midfielder",82.53,7.44
totalPassesPerGame,"Ander Herrera, Midfielder",100.0,74.64
accurateCrossesPerGame,"Ander Herrera, Midfielder",43.24,0.73
accurateLongPassPerGame,"Ander Herrera, Midfielder",44.77,4.14
accurateThroughBallPerGame,"Ander Herrera, Midfielder",36.36,0.18
passing_rating,"Ander Herrera, Midfielder",82.53,7.44
shotSixYardBox,"Ander Herrera, Midfielder",0.0,0.0
shotPenaltyArea,"Ander Herrera, Midfielder",7.27,0.18
shotOboxTotal,"Ander Herrera, Midfielder",59.09,1.18
shotsTotal,"Ander Herrera, Midfielder",32.09,1.36
detailed_rating,"Ander Herrera, Midfielder",82.53,7.44
goal,"Phil Jones, Defender",0.0,0.0
assistTotal,"Phil Jones, Defender",0.0,0.0
shotsPerGame,"Phil Jones, Defender",5.88,0.25
aerialWonPerGame,"Phil Jones, Defender",96.0,3.0
manOfTheMatch,"Phil Jones, Defender",0.0,0.0
passSuccess,"Phil Jones, Defender",98.79,89.53
all_rating,"Phil Jones, Defender",76.4,7.33
goalOwn,"Phil Jones, Defender",0.0,0.0
tacklePerGame,"Phil Jones, Defender",62.05,1.83
interceptionPerGame,"Phil Jones, Defender",51.99,1.58
foulsPerGame,"Phil Jones, Defender",18.87,0.42
offsideWonPerGame,"Phil Jones, Defender",58.33,0.33
clearancePerGame,"Phil Jones, Defender",100.0,8.17
wasDribbledPerGame,"Phil Jones, Defender",0.0,0.0
outfielderBlockPerGame,"Phil Jones, Defender",100.0,0.75
defensive_rating,"Phil Jones, Defender",76.4,7.33
keyPassPerGame,"Phil Jones, Defender",8.7,0.17
dribbleWonPerGame,"Phil Jones, Defender",6.67,0.17
foulGivenPerGame,"Phil Jones, Defender",35.71,0.83
offsideGivenPerGame,"Phil Jones, Defender",0.0,0.0
dispossessedPerGame,"Phil Jones, Defender",3.91,0.08
turnoverPerGame,"Phil Jones, Defender",3.13,0.08
offensive_rating,"Phil Jones, Defender",76.4,7.33
totalPassesPerGame,"Phil Jones, Defender",59.73,44.58
accurateCrossesPerGame,"Phil Jones, Defender",0.0,0.0
accurateLongPassPerGame,"Phil Jones, Defender",30.66,2.83
accurateThroughBallPerGame,"Phil Jones, Defender",0.0,0.0
passing_rating,"Phil Jones, Defender",76.4,7.33
shotSixYardBox,"Phil Jones, Defender",18.18,0.08
shotPenaltyArea,"Phil Jones, Defender",6.67,0.17
shotOboxTotal,"Phil Jones, Defender",0.0,0.0
shotsTotal,"Phil Jones, Defender",5.88,0.25
detailed_rating,"Phil Jones, Defender",76.4,7.33
goal,"Daley Blind, Defender",6.67,1.0
assistTotal,"Daley Blind, Defender",40.0,2.0
shotsPerGame,"Daley Blind, Defender",11.07,0.47
aerialWonPerGame,"Daley Blind, Defender",41.41,1.29
manOfTheMatch,"Daley Blind, Defender",0.0,0.0
passSuccess,"Daley Blind, Defender",95.42,86.47
all_rating,"Daley Blind, Defender",75.6,7.31
goalOwn,"Daley Blind, Defender",0.0,0.0
tacklePerGame,"Daley Blind, Defender",67.69,2.0
interceptionPerGame,"Daley Blind, Defender",61.81,1.88
foulsPerGame,"Daley Blind, Defender",34.63,0.76
offsideWonPerGame,"Daley Blind, Defender",30.88,0.18
clearancePerGame,"Daley Blind, Defender",56.18,4.59
wasDribbledPerGame,"Daley Blind, Defender",38.24,0.76
outfielderBlockPerGame,"Daley Blind, Defender",39.22,0.29
defensive_rating,"Daley Blind, Defender",75.6,7.31
keyPassPerGame,"Daley Blind, Defender",73.66,1.41
dribbleWonPerGame,"Daley Blind, Defender",14.12,0.35
foulGivenPerGame,"Daley Blind, Defender",27.73,0.65
offsideGivenPerGame,"Daley Blind, Defender",0.0,0.0
dispossessedPerGame,"Daley Blind, Defender",11.03,0.24
turnoverPerGame,"Daley Blind, Defender",13.24,0.35
offensive_rating,"Daley Blind, Defender",75.6,7.31
totalPassesPerGame,"Daley Blind, Defender",64.08,47.82
accurateCrossesPerGame,"Daley Blind, Defender",73.45,1.24
accurateLongPassPerGame,"Daley Blind, Defender",28.65,2.65
accurateThroughBallPerGame,"Daley Blind, Defender",0.0,0.0
passing_rating,"Daley Blind, Defender",75.6,7.31
shotSixYardBox,"Daley Blind, Defender",0.0,0.0
shotPenaltyArea,"Daley Blind, Defender",11.76,0.29
shotOboxTotal,"Daley Blind, Defender",8.82,0.18
shotsTotal,"Daley Blind, Defender",11.07,0.47
detailed_rating,"Daley Blind, Defender",75.6,7.31
goal,"Antonio Valencia, Defender",0.0,0.0
assistTotal,"Antonio Valencia, Defender",40.0,2.0
shotsPerGame,"Antonio Valencia, Defender",4.28,0.18
aerialWonPerGame,"Antonio Valencia, Defender",27.64,0.86
manOfTheMatch,"Antonio Valencia, Defender",0.0,0.0
passSuccess,"Antonio Valencia, Defender",95.45,86.5
all_rating,"Antonio Valencia, Defender",73.39,7.27
goalOwn,"Antonio Valencia, Defender",0.0,0.0
tacklePerGame,"Antonio Valencia, Defender",78.46,2.32
interceptionPerGame,"Antonio Valencia, Defender",53.73,1.64
foulsPerGame,"Antonio Valencia, Defender",59.69,1.32
offsideWonPerGame,"Antonio Valencia, Defender",31.82,0.18
clearancePerGame,"Antonio Valencia, Defender",30.06,2.45
wasDribbledPerGame,"Antonio Valencia, Defender",13.64,0.27
outfielderBlockPerGame,"Antonio Valencia, Defender",42.42,0.32
defensive_rating,"Antonio Valencia, Defender",73.39,7.27
keyPassPerGame,"Antonio Valencia, Defender",61.66,1.18
dribbleWonPerGame,"Antonio Valencia, Defender",60.0,1.5
foulGivenPerGame,"Antonio Valencia, Defender",29.22,0.68
offsideGivenPerGame,"Antonio Valencia, Defender",21.82,0.32
dispossessedPerGame,"Antonio Valencia, Defender",27.7,0.59
turnoverPerGame,"Antonio Valencia, Defender",30.68,0.82
offensive_rating,"Antonio Valencia, Defender",73.39,7.27
totalPassesPerGame,"Antonio Valencia, Defender",66.32,49.5
accurateCrossesPerGame,"Antonio Valencia, Defender",100.0,1.68
accurateLongPassPerGame,"Antonio Valencia, Defender",17.71,1.64
accurateThroughBallPerGame,"Antonio Valencia, Defender",0.0,0.0
passing_rating,"Antonio Valencia, Defender",73.39,7.27
shotSixYardBox,"Antonio Valencia, Defender",9.92,0.05
shotPenaltyArea,"Antonio Valencia, Defender",3.64,0.09
shotOboxTotal,"Antonio Valencia, Defender",2.27,0.05
shotsTotal,"Antonio Valencia, Defender",4.28,0.18
detailed_rating,"Antonio Valencia, Defender",73.39,7.27
goal,"Marcos Rojo, Defender",0.0,0.0
assistTotal,"Marcos Rojo, Defender",0.0,0.0
shotsPerGame,"Marcos Rojo, Defender",15.69,0.67
aerialWonPerGame,"Marcos Rojo, Defender",78.93,2.47
manOfTheMatch,"Marcos Rojo, Defender",0.0,0.0
passSuccess,"Marcos Rojo, Defender",92.95,84.23
all_rating,"Marcos Rojo, Defender",69.16,7.2
goalOwn,"Marcos Rojo, Defender",0.0,0.0
tacklePerGame,"Marcos Rojo, Defender",49.64,1.47
interceptionPerGame,"Marcos Rojo, Defender",50.35,1.53
foulsPerGame,"Marcos Rojo, Defender",51.32,1.13
offsideWonPerGame,"Marcos Rojo, Defender",46.67,0.27
clearancePerGame,"Marcos Rojo, Defender",92.24,7.53
wasDribbledPerGame,"Marcos Rojo, Defender",23.33,0.47
outfielderBlockPerGame,"Marcos Rojo, Defender",44.44,0.33
defensive_rating,"Marcos Rojo, Defender",69.16,7.2
keyPassPerGame,"Marcos Rojo, Defender",17.39,0.33
dribbleWonPerGame,"Marcos Rojo, Defender",24.0,0.6
foulGivenPerGame,"Marcos Rojo, Defender",11.43,0.27
offsideGivenPerGame,"Marcos Rojo, Defender",0.0,0.0
dispossessedPerGame,"Marcos Rojo, Defender",0.0,0.0
turnoverPerGame,"Marcos Rojo, Defender",10.0,0.27
offensive_rating,"Marcos Rojo, Defender",69.16,7.2
totalPassesPerGame,"Marcos Rojo, Defender",62.88,46.93
accurateCrossesPerGame,"Marcos Rojo, Defender",3.96,0.07
accurateLongPassPerGame,"Marcos Rojo, Defender",36.08,3.33
accurateThroughBallPerGame,"Marcos Rojo, Defender",0.0,0.0
passing_rating,"Marcos Rojo, Defender",69.16,7.2
shotSixYardBox,"Marcos Rojo, Defender",0.0,0.0
shotPenaltyArea,"Marcos Rojo, Defender",16.0,0.4
shotOboxTotal,"Marcos Rojo, Defender",13.33,0.27
shotsTotal,"Marcos Rojo, Defender",15.69,0.67
detailed_rating,"Marcos Rojo, Defender",69.16,7.2
goal,"Eric Bailly, Defender",0.0,0.0
assistTotal,"Eric Bailly, Defender",0.0,0.0
shotsPerGame,"Eric Bailly, Defender",5.04,0.21
aerialWonPerGame,"Eric Bailly, Defender",43.43,1.36
manOfTheMatch,"Eric Bailly, Defender",0.0,0.0
passSuccess,"Eric Bailly, Defender",96.42,87.38
all_rating,"Eric Bailly, Defender",67.44,7.17
goalOwn,"Eric Bailly, Defender",0.0,0.0
tacklePerGame,"Eric Bailly, Defender",79.78,2.36
interceptionPerGame,"Eric Bailly, Defender",79.74,2.43
foulsPerGame,"Eric Bailly, Defender",45.28,1.0
offsideWonPerGame,"Eric Bailly, Defender",100.0,0.57
clearancePerGame,"Eric Bailly, Defender",65.6,5.36
wasDribbledPerGame,"Eric Bailly, Defender",21.43,0.43
outfielderBlockPerGame,"Eric Bailly, Defender",57.14,0.43
defensive_rating,"Eric Bailly, Defender",67.44,7.17
keyPassPerGame,"Eric Bailly, Defender",3.73,0.07
dribbleWonPerGame,"Eric Bailly, Defender",22.86,0.57
foulGivenPerGame,"Eric Bailly, Defender",27.55,0.64
offsideGivenPerGame,"Eric Bailly, Defender",0.0,0.0
dispossessedPerGame,"Eric Bailly, Defender",6.7,0.14
turnoverPerGame,"Eric Bailly, Defender",21.43,0.57
offensive_rating,"Eric Bailly, Defender",67.44,7.17
totalPassesPerGame,"Eric Bailly, Defender",48.52,36.21
accurateCrossesPerGame,"Eric Bailly, Defender",0.0,0.0
accurateLongPassPerGame,"Eric Bailly, Defender",29.38,2.71
accurateThroughBallPerGame,"Eric Bailly, Defender",0.0,0.0
passing_rating,"Eric Bailly, Defender",67.44,7.17
shotSixYardBox,"Eric Bailly, Defender",0.0,0.0
shotPenaltyArea,"Eric Bailly, Defender",5.71,0.14
shotOboxTotal,"Eric Bailly, Defender",3.57,0.07
shotsTotal,"Eric Bailly, Defender",5.04,0.21
detailed_rating,"Eric Bailly, Defender",67.44,7.17
goal,"Henrikh Mkhitaryan, Midfielder",20.0,3.0
assistTotal,"Henrikh Mkhitaryan, Midfielder",20.0,1.0
shotsPerGame,"Henrikh Mkhitaryan, Midfielder",43.92,1.87
aerialWonPerGame,"Henrikh Mkhitaryan, Midfielder",21.33,0.67
manOfTheMatch,"Henrikh Mkhitaryan, Midfielder",25.0,1.0
passSuccess,"Henrikh Mkhitaryan, Midfielder",93.21,84.47
all_rating,"Henrikh Mkhitaryan, Midfielder",66.28,7.14
goalOwn,"Henrikh Mkhitaryan, Midfielder",0.0,0.0
tacklePerGame,"Henrikh Mkhitaryan, Midfielder",42.87,1.27
interceptionPerGame,"Henrikh Mkhitaryan, Midfielder",37.21,1.13
foulsPerGame,"Henrikh Mkhitaryan, Midfielder",42.26,0.93
offsideWonPerGame,"Henrikh Mkhitaryan, Midfielder",0.0,0.0
clearancePerGame,"Henrikh Mkhitaryan, Midfielder",8.16,0.67
wasDribbledPerGame,"Henrikh Mkhitaryan, Midfielder",46.67,0.93
outfielderBlockPerGame,"Henrikh Mkhitaryan, Midfielder",0.0,0.0
defensive_rating,"Henrikh Mkhitaryan, Midfielder",66.28,7.14
keyPassPerGame,"Henrikh Mkhitaryan, Midfielder",90.43,1.73
dribbleWonPerGame,"Henrikh Mkhitaryan, Midfielder",53.33,1.33
foulGivenPerGame,"Henrikh Mkhitaryan, Midfielder",45.71,1.07
offsideGivenPerGame,"Henrikh Mkhitaryan, Midfielder",32.0,0.47
dispossessedPerGame,"Henrikh Mkhitaryan, Midfielder",100.0,2.13
turnoverPerGame,"Henrikh Mkhitaryan, Midfielder",52.5,1.4
offensive_rating,"Henrikh Mkhitaryan, Midfielder",66.28,7.14
totalPassesPerGame,"Henrikh Mkhitaryan, Midfielder",43.14,32.2
accurateCrossesPerGame,"Henrikh Mkhitaryan, Midfielder",31.71,0.53
accurateLongPassPerGame,"Henrikh Mkhitaryan, Midfielder",10.1,0.93
accurateThroughBallPerGame,"Henrikh Mkhitaryan, Midfielder",66.67,0.33
passing_rating,"Henrikh Mkhitaryan, Midfielder",66.28,7.14
shotSixYardBox,"Henrikh Mkhitaryan, Midfielder",0.0,0.0
shotPenaltyArea,"Henrikh Mkhitaryan, Midfielder",48.0,1.2
shotOboxTotal,"Henrikh Mkhitaryan, Midfielder",33.33,0.67
shotsTotal,"Henrikh Mkhitaryan, Midfielder",43.92,1.87
detailed_rating,"Henrikh Mkhitaryan, Midfielder",66.28,7.14
goal,"Juan Mata, Midfielder",40.0,6.0
assistTotal,"Juan Mata, Midfielder",40.0,2.0
shotsPerGame,"Juan Mata, Midfielder",42.35,1.8
aerialWonPerGame,"Juan Mata, Midfielder",4.8,0.15
manOfTheMatch,"Juan Mata, Midfielder",25.0,1.0
passSuccess,"Juan Mata, Midfielder",99.68,90.33
all_rating,"Juan Mata, Midfielder",63.61,7.1
goalOwn,"Juan Mata, Midfielder",100.0,1.0
tacklePerGame,"Juan Mata, Midfielder",32.15,0.95
interceptionPerGame,"Juan Mata, Midfielder",16.42,0.5
foulsPerGame,"Juan Mata, Midfielder",18.11,0.4
offsideWonPerGame,"Juan Mata, Midfielder",0.0,0.0
clearancePerGame,"Juan Mata, Midfielder",3.06,0.25
wasDribbledPerGame,"Juan Mata, Midfielder",35.0,0.7
outfielderBlockPerGame,"Juan Mata, Midfielder",0.0,0.0
defensive_rating,"Juan Mata, Midfielder",63.61,7.1
keyPassPerGame,"Juan Mata, Midfielder",86.09,1.65
dribbleWonPerGame,"Juan Mata, Midfielder",24.0,0.6
foulGivenPerGame,"Juan Mata, Midfielder",30.0,0.7
offsideGivenPerGame,"Juan Mata, Midfielder",24.0,0.35
dispossessedPerGame,"Juan Mata, Midfielder",28.13,0.6
turnoverPerGame,"Juan Mata, Midfielder",30.0,0.8
offensive_rating,"Juan Mata, Midfielder",63.61,7.1
totalPassesPerGame,"Juan Mata, Midfielder",52.66,39.3
accurateCrossesPerGame,"Juan Mata, Midfielder",53.51,0.9
accurateLongPassPerGame,"Juan Mata, Midfielder",20.56,1.9
accurateThroughBallPerGame,"Juan Mata, Midfielder",30.0,0.15
passing_rating,"Juan Mata, Midfielder",63.61,7.1
shotSixYardBox,"Juan Mata, Midfielder",21.82,0.1
shotPenaltyArea,"Juan Mata, Midfielder",52.0,1.3
shotOboxTotal,"Juan Mata, Midfielder",20.0,0.4
shotsTotal,"Juan Mata, Midfielder",42.35,1.8
detailed_rating,"Juan Mata, Midfielder",63.61,7.1
goal,"Matteo Darmian, Defender",0.0,0.0
assistTotal,"Matteo Darmian, Defender",0.0,0.0
shotsPerGame,"Matteo Darmian, Defender",4.71,0.2
aerialWonPerGame,"Matteo Darmian, Defender",44.8,1.4
manOfTheMatch,"Matteo Darmian, Defender",0.0,0.0
passSuccess,"Matteo Darmian, Defender",88.84,80.52
all_rating,"Matteo Darmian, Defender",58.05,7.0
goalOwn,"Matteo Darmian, Defender",0.0,0.0
tacklePerGame,"Matteo Darmian, Defender",84.62,2.5
interceptionPerGame,"Matteo Darmian, Defender",85.37,2.6
foulsPerGame,"Matteo Darmian, Defender",45.28,1.0
offsideWonPerGame,"Matteo Darmian, Defender",17.5,0.1
clearancePerGame,"Matteo Darmian, Defender",53.88,4.4
wasDribbledPerGame,"Matteo Darmian, Defender",100.0,2.0
outfielderBlockPerGame,"Matteo Darmian, Defender",13.33,0.1
defensive_rating,"Matteo Darmian, Defender",58.05,7.0
keyPassPerGame,"Matteo Darmian, Defender",10.43,0.2
dribbleWonPerGame,"Matteo Darmian, Defender",8.0,0.2
foulGivenPerGame,"Matteo Darmian, Defender",38.57,0.9
offsideGivenPerGame,"Matteo Darmian, Defender",6.86,0.1
dispossessedPerGame,"Matteo Darmian, Defender",28.13,0.6
turnoverPerGame,"Matteo Darmian, Defender",7.5,0.2
offensive_rating,"Matteo Darmian, Defender",58.05,7.0
totalPassesPerGame,"Matteo Darmian, Defender",46.76,34.9
accurateCrossesPerGame,"Matteo Darmian, Defender",23.78,0.4
accurateLongPassPerGame,"Matteo Darmian, Defender",14.07,1.3
accurateThroughBallPerGame,"Matteo Darmian, Defender",0.0,0.0
passing_rating,"Matteo Darmian, Defender",58.05,7.0
shotSixYardBox,"Matteo Darmian, Defender",0.0,0.0
shotPenaltyArea,"Matteo Darmian, Defender",4.0,0.1
shotOboxTotal,"Matteo Darmian, Defender",5.0,0.1
shotsTotal,"Matteo Darmian, Defender",4.71,0.2
detailed_rating,"Matteo Darmian, Defender",58.05,7.0
goal,"Anthony Martial, Forward",20.0,3.0
assistTotal,"Anthony Martial, Forward",80.0,4.0
shotsPerGame,"Anthony Martial, Forward",38.66,1.64
aerialWonPerGame,"Anthony Martial, Forward",16.0,0.5
manOfTheMatch,"Anthony Martial, Forward",50.0,2.0
passSuccess,"Anthony Martial, Forward",89.72,81.31
all_rating,"Anthony Martial, Forward",55.19,6.94
goalOwn,"Anthony Martial, Forward",0.0,0.0
tacklePerGame,"Anthony Martial, Forward",24.18,0.71
interceptionPerGame,"Anthony Martial, Forward",4.69,0.14
foulsPerGame,"Anthony Martial, Forward",42.05,0.93
offsideWonPerGame,"Anthony Martial, Forward",0.0,0.0
clearancePerGame,"Anthony Martial, Forward",2.62,0.21
wasDribbledPerGame,"Anthony Martial, Forward",10.71,0.21
outfielderBlockPerGame,"Anthony Martial, Forward",9.52,0.07
defensive_rating,"Anthony Martial, Forward",55.19,6.94
keyPassPerGame,"Anthony Martial, Forward",52.17,1.0
dribbleWonPerGame,"Anthony Martial, Forward",57.14,1.43
foulGivenPerGame,"Anthony Martial, Forward",39.8,0.93
offsideGivenPerGame,"Anthony Martial, Forward",14.69,0.21
dispossessedPerGame,"Anthony Martial, Forward",66.96,1.43
turnoverPerGame,"Anthony Martial, Forward",58.93,1.57
offensive_rating,"Anthony Martial, Forward",55.19,6.94
totalPassesPerGame,"Anthony Martial, Forward",29.19,21.79
accurateCrossesPerGame,"Anthony Martial, Forward",29.73,0.5
accurateLongPassPerGame,"Anthony Martial, Forward",6.18,0.57
accurateThroughBallPerGame,"Anthony Martial, Forward",14.29,0.07
passing_rating,"Anthony Martial, Forward",55.19,6.94
shotSixYardBox,"Anthony Martial, Forward",0.0,0.0
shotPenaltyArea,"Anthony Martial, Forward",37.14,0.93
shotOboxTotal,"Anthony Martial, Forward",35.71,0.71
shotsTotal,"Anthony Martial, Forward",38.66,1.64
detailed_rating,"Anthony Martial, Forward",55.19,6.94
goal,"Luke Shaw, Defender",0.0,0.0
assistTotal,"Luke Shaw, Defender",0.0,0.0
shotsPerGame,"Luke Shaw, Defender",10.08,0.43
aerialWonPerGame,"Luke Shaw, Defender",36.57,1.14
manOfTheMatch,"Luke Shaw, Defender",0.0,0.0
passSuccess,"Luke Shaw, Defender",94.58,85.71
all_rating,"Luke Shaw, Defender",54.24,6.93
goalOwn,"Luke Shaw, Defender",0.0,0.0
tacklePerGame,"Luke Shaw, Defender",38.68,1.14
interceptionPerGame,"Luke Shaw, Defender",56.29,1.71
foulsPerGame,"Luke Shaw, Defender",25.88,0.57
offsideWonPerGame,"Luke Shaw, Defender",0.0,0.0
clearancePerGame,"Luke Shaw, Defender",29.74,2.43
wasDribbledPerGame,"Luke Shaw, Defender",28.57,0.57
outfielderBlockPerGame,"Luke Shaw, Defender",19.05,0.14
defensive_rating,"Luke Shaw, Defender",54.24,6.93
keyPassPerGame,"Luke Shaw, Defender",29.81,0.57
dribbleWonPerGame,"Luke Shaw, Defender",45.71,1.14
foulGivenPerGame,"Luke Shaw, Defender",24.49,0.57
offsideGivenPerGame,"Luke Shaw, Defender",0.0,0.0
dispossessedPerGame,"Luke Shaw, Defender",26.79,0.57
turnoverPerGame,"Luke Shaw, Defender",37.5,1.0
offensive_rating,"Luke Shaw, Defender",54.24,6.93
totalPassesPerGame,"Luke Shaw, Defender",50.91,38.0
accurateCrossesPerGame,"Luke Shaw, Defender",25.48,0.43
accurateLongPassPerGame,"Luke Shaw, Defender",9.28,0.86
accurateThroughBallPerGame,"Luke Shaw, Defender",0.0,0.0
passing_rating,"Luke Shaw, Defender",54.24,6.93
shotSixYardBox,"Luke Shaw, Defender",0.0,0.0
shotPenaltyArea,"Luke Shaw, Defender",5.71,0.14
shotOboxTotal,"Luke Shaw, Defender",14.29,0.29
shotsTotal,"Luke Shaw, Defender",10.08,0.43
detailed_rating,"Luke Shaw, Defender",54.24,6.93
goal,"Wayne Rooney, Forward",13.33,2.0
assistTotal,"Wayne Rooney, Forward",100.0,5.0
shotsPerGame,"Wayne Rooney, Forward",38.75,1.65
aerialWonPerGame,"Wayne Rooney, Forward",9.41,0.29
manOfTheMatch,"Wayne Rooney, Forward",0.0,0.0
passSuccess,"Wayne Rooney, Forward",93.35,84.6
all_rating,"Wayne Rooney, Forward",48.43,6.82
goalOwn,"Wayne Rooney, Forward",0.0,0.0
tacklePerGame,"Wayne Rooney, Forward",31.86,0.94
interceptionPerGame,"Wayne Rooney, Forward",17.38,0.53
foulsPerGame,"Wayne Rooney, Forward",37.29,0.82
offsideWonPerGame,"Wayne Rooney, Forward",0.0,0.0
clearancePerGame,"Wayne Rooney, Forward",3.6,0.29
wasDribbledPerGame,"Wayne Rooney, Forward",23.53,0.47
outfielderBlockPerGame,"Wayne Rooney, Forward",15.69,0.12
defensive_rating,"Wayne Rooney, Forward",48.43,6.82
keyPassPerGame,"Wayne Rooney, Forward",70.59,1.35
dribbleWonPerGame,"Wayne Rooney, Forward",25.88,0.65
